,Data,N-day,S-day,T-day,S minus
409,1987-02-14,0.0,0.0,0.0,0.0
410,1987-02-15,0.0,0.0,0.0,0.0
411,1987-02-16,0.23,0.0,0.23,0.0
412,1987-02-17,0.0,0.0,0.0,0.0
413,1987-02-18,0.0,0.0,0.0,0.0
414,1987-02-19,0.0,0.0,0.0,0.0
415,1987-02-20,0.0,0.0,0.0,0.0
416,1987-02-21,0.0,0.0,0.0,0.0
417,1987-02-22,0.0,0.0,0.0,0.0
418,1987-02-23,0.0,0.0,0.0,0.0
419,1987-02-24,0.0,0.0,0.0,0.0
420,1987-02-25,0.0,0.0,0.0,0.0
421,1987-02-26,0.0,0.0,0.0,0.0
422,1987-02-27,0.0,0.0,0.0,0.0
423,1987-02-28,4.31,0.25,4.56,-0.25
424,1987-03-01,1.73,0.0,1.73,0.0
425,1987-03-02,0.92,0.07,0.99,-0.07
426,1987-03-03,0.0,0.0,0.0,0.0
427,1987-03-04,0.0,0.73,0.73,-0.73
428,1987-03-05,1.46,0.0,1.46,0.0
429,1987-03-06,1.36,0.0,1.36,0.0
430,1987-03-07,0.73,0.0,0.73,0.0
431,1987-03-08,4.56,0.0,4.56,0.0
432,1987-03-09,0.19,0.0,0.19,0.0
433,1987-03-10,0.0,0.0,0.0,0.0
434,1987-03-11,0.0,0.0,0.0,0.0
435,1987-03-12,0.0,0.0,0.0,0.0
436,1987-03-13,0.0,2.38,2.38,-2.38
437,1987-03-14,0.0,2.68,2.68,-2.68
438,1987-03-15,0.0,0.15,0.15,-0.15
439,1987-03-16,0.0,0.0,0.0,0.0
440,1987-03-17,0.0,0.73,0.73,-0.73
441,1987-03-18,0.0,0.83,0.83,-0.83
442,1987-03-19,0.0,1.5,1.5,-1.5
443,1987-03-20,1.46,2.88,4.34,-2.88
444,1987-03-21,3.63,0.0,3.63,0.0
445,1987-03-22,1.83,0.0,1.83,0.0
446,1987-03-23,0.0,0.67,0.67,-0.67
447,1987-03-24,0.0,0.0,0.0,0.0
448,1987-03-25,1.95,0.0,1.95,0.0
449,1987-03-26,0.0,0.0,0.0,0.0
450,1987-03-27,0.34,0.0,0.34,0.0
451,1987-03-28,0.0,0.0,0.0,0.0
452,1987-03-29,0.0,0.0,0.0,0.0
453,1987-03-30,0.0,0.0,0.0,0.0
454,1987-03-31,0.77,0.0,0.77,0.0
455,1987-04-01,0.65,0.0,0.65,0.0
456,1987-04-02,0.19,0.0,0.19,0.0
457,1987-04-03,0.0,1.86,1.86,-1.86
458,1987-04-04,0.19,0.17,0.36,-0.17
459,1987-04-05,0.0,3.26,3.26,-3.26
460,1987-04-06,0.0,8.99,8.99,-8.99
461,1987-04-07,0.33,8.06,8.39,-8.06
462,1987-04-08,0.0,4.25,4.25,-4.25
463,1987-04-09,0.0,6.66,6.66,-6.66
464,1987-04-10,0.0,8.47,8.47,-8.47
465,1987-04-11,0.29,3.41,3.7,-3.41
466,1987-04-12,0.0,4.85,4.85,-4.85
467,1987-04-13,0.0,1.44,1.44,-1.44
468,1987-04-14,0.0,0.96,0.96,-0.96
469,1987-04-15,0.14,13.22,13.36,-13.22
470,1987-04-16,1.46,17.75,19.21,-17.75
471,1987-04-17,0.0,6.15,6.15,-6.15
472,1987-04-18,0.27,9.6,9.87,-9.6
473,1987-04-19,0.02,0.77,0.79,-0.77
474,1987-04-20,0.0,0.94,0.94,-0.94
475,1987-04-21,0.0,0.0,0.0,0.0
476,1987-04-22,1.91,0.0,1.91,0.0
477,1987-04-23,0.36,0.0,0.36,0.0
478,1987-04-24,8.08,0.0,8.08,0.0
479,1987-04-25,2.45,0.0,2.45,0.0
480,1987-04-26,0.0,0.0,0.0,0.0
481,1987-04-27,0.32,0.0,0.32,0.0
